Link Text,Link URL
,http://www.paulgraham.com/index.html
Is it Worth Being Wise?,http://www.paulgraham.com/wisdom.html
Having Kids,http://www.paulgraham.com/kids.html
How to Lose Time and Money,http://www.paulgraham.com/selfindulgence.html
How to Do Great Work,http://www.paulgraham.com/greatwork.html
How to Get New Ideas,http://www.paulgraham.com/getideas.html
The Need to Read,http://www.paulgraham.com/read.html
What You (Want to)* Want,http://www.paulgraham.com/want.html
Alien Truth,http://www.paulgraham.com/alien.html
What I've Learned from Users,http://www.paulgraham.com/users.html
Heresy,http://www.paulgraham.com/heresy.html
Putting Ideas into Words,http://www.paulgraham.com/words.html
Is There Such a Thing as Good Taste?,http://www.paulgraham.com/goodtaste.html
Beyond Smart,http://www.paulgraham.com/smart.html
Weird Languages,http://www.paulgraham.com/weird.html
How to Work Hard,http://www.paulgraham.com/hwh.html
A Project of One's Own,http://www.paulgraham.com/own.html
Fierce Nerds,http://www.paulgraham.com/fn.html
Crazy New Ideas,http://www.paulgraham.com/newideas.html
An NFT That Saves Lives,http://www.paulgraham.com/nft.html
The Real Reason to End the Death Penalty,http://www.paulgraham.com/real.html
How People Get Rich Now,http://www.paulgraham.com/richnow.html
Write Simply,http://www.paulgraham.com/simply.html
Donate Unrestricted,http://www.paulgraham.com/donate.html
What I Worked On,http://www.paulgraham.com/worked.html
Earnestness,http://www.paulgraham.com/earnest.html
Billionaires Build,http://www.paulgraham.com/ace.html
The Airbnbs,http://www.paulgraham.com/airbnbs.html
How to Think for Yourself,http://www.paulgraham.com/think.html
Early Work,http://www.paulgraham.com/early.html
Modeling a Wealth Tax,http://www.paulgraham.com/wtax.html
The Four Quadrants of Conformism,http://www.paulgraham.com/conformism.html
Orthodox Privilege,http://www.paulgraham.com/orth.html
Coronavirus and Credibility,http://www.paulgraham.com/cred.html
How to Write Usefully,http://www.paulgraham.com/useful.html
Being a Noob,http://www.paulgraham.com/noob.html
Haters,http://www.paulgraham.com/fh.html
The Two Kinds of Moderate,http://www.paulgraham.com/mod.html
Fashionable Problems,http://www.paulgraham.com/fp.html
Having Kids,http://www.paulgraham.com/kids.html
The Lesson to Unlearn,http://www.paulgraham.com/lesson.html
Novelty and Heresy,http://www.paulgraham.com/nov.html
The Bus Ticket Theory of Genius,http://www.paulgraham.com/genius.html
General and Surprising,http://www.paulgraham.com/sun.html
Charisma / Power,http://www.paulgraham.com/pow.html
The Risk of Discovery,http://www.paulgraham.com/disc.html
How to Make Pittsburgh a Startup Hub,http://www.paulgraham.com/pgh.html
Life is Short,http://www.paulgraham.com/vb.html
Economic Inequality,http://www.paulgraham.com/ineq.html
The Refragmentation,http://www.paulgraham.com/re.html
Jessica Livingston,http://www.paulgraham.com/jessica.html
A Way to Detect Bias,http://www.paulgraham.com/bias.html
Write Like You Talk,http://www.paulgraham.com/talk.html
Default Alive or Default Dead?,http://www.paulgraham.com/aord.html
Why It's Safe for Founders to Be Nice,http://www.paulgraham.com/safe.html
Change Your Name,http://www.paulgraham.com/name.html
What Microsoft Is this the Altair Basic of?,http://www.paulgraham.com/altair.html
The Ronco Principle,http://www.paulgraham.com/ronco.html
What Doesn't Seem Like Work?,http://www.paulgraham.com/work.html
Don't Talk to Corp Dev,http://www.paulgraham.com/corpdev.html
Let the Other 95% of Great Programmers In,http://www.paulgraham.com/95.html
How to Be an Expert in a Changing World,http://www.paulgraham.com/ecw.html
How You Know,http://www.paulgraham.com/know.html
The Fatal Pinch,http://www.paulgraham.com/pinch.html
Mean People Fail,http://www.paulgraham.com/mean.html
Before the Startup,http://www.paulgraham.com/before.html
How to Raise Money,http://www.paulgraham.com/fr.html
Investor Herd Dynamics,http://www.paulgraham.com/herd.html
How to Convince Investors,http://www.paulgraham.com/convince.html
Do Things that Don't Scale,http://www.paulgraham.com/ds.html
Startup Investing Trends,http://www.paulgraham.com/invtrend.html
How to Get Startup Ideas,http://www.paulgraham.com/startupideas.html
The Hardware Renaissance,http://www.paulgraham.com/hw.html
Startup = Growth,http://www.paulgraham.com/growth.html
Black Swan Farming,http://www.paulgraham.com/swan.html
The Top of My Todo List,http://www.paulgraham.com/todo.html
Writing and Speaking,http://www.paulgraham.com/speak.html
How Y Combinator Started,http://www.paulgraham.com/ycstart.html
Defining Property,http://www.paulgraham.com/property.html
Frighteningly Ambitious Startup Ideas,http://www.paulgraham.com/ambitious.html
A Word to the Resourceful,http://www.paulgraham.com/word.html
Schlep Blindness,http://www.paulgraham.com/schlep.html
"Snapshot: Viaweb, June 1998",http://www.paulgraham.com/vw.html
Why Startup Hubs Work,http://www.paulgraham.com/hubs.html
The Patent Pledge,http://www.paulgraham.com/patentpledge.html
Subject: Airbnb,http://www.paulgraham.com/airbnb.html
Founder Control,http://www.paulgraham.com/control.html
Tablets,http://www.paulgraham.com/tablets.html
What We Look for in Founders,http://www.paulgraham.com/founders.html
The New Funding Landscape,http://www.paulgraham.com/superangels.html
Where to See Silicon Valley,http://www.paulgraham.com/seesv.html
High Resolution Fundraising ,http://www.paulgraham.com/hiresfund.html
What Happened to Yahoo ,http://www.paulgraham.com/yahoo.html
The Future of Startup Funding ,http://www.paulgraham.com/future.html
The Acceleration of Addictiveness,http://www.paulgraham.com/addiction.html
The Top Idea in Your Mind ,http://www.paulgraham.com/top.html
How to Lose Time and Money ,http://www.paulgraham.com/selfindulgence.html
Organic Startup Ideas,http://www.paulgraham.com/organic.html
Apple's Mistake,http://www.paulgraham.com/apple.html
What Startups Are Really Like,http://www.paulgraham.com/really.html
Persuade xor Discover ,http://www.paulgraham.com/discover.html
Post-Medium Publishing,http://www.paulgraham.com/publishing.html
The List of N Things,http://www.paulgraham.com/nthings.html
The Anatomy of Determination ,http://www.paulgraham.com/determination.html
What Kate Saw in Silicon Valley  ,http://www.paulgraham.com/kate.html
The Trouble with the Segway,http://www.paulgraham.com/segway.html
Ramen Profitable,http://www.paulgraham.com/ramenprofitable.html
"Maker's Schedule, Manager's Schedule ",http://www.paulgraham.com/makersschedule.html
A Local Revolution?,http://www.paulgraham.com/revolution.html
Why Twitter is a Big Deal,http://www.paulgraham.com/twitter.html
The Founder Visa,http://www.paulgraham.com/foundervisa.html
Five Founders,http://www.paulgraham.com/5founders.html
Relentlessly Resourceful,http://www.paulgraham.com/relres.html
How to Be an Angel Investor,http://www.paulgraham.com/angelinvesting.html
Why TV Lost,http://www.paulgraham.com/convergence.html
Can You Buy a Silicon Valley?  Maybe.,http://www.paulgraham.com/maybe.html
What I've Learned from Hacker News,http://www.paulgraham.com/hackernews.html
Startups in 13 Sentences,http://www.paulgraham.com/13sentences.html
Keep Your Identity Small  ,http://www.paulgraham.com/identity.html
After Credentials,http://www.paulgraham.com/credentials.html
Could VC be a Casualty of the Recession?,http://www.paulgraham.com/divergence.html
The High-Res Society,http://www.paulgraham.com/highres.html
"The Other Half of ""Artists Ship""  ",http://www.paulgraham.com/artistsship.html
Why to Start a Startup in a Bad Economy,http://www.paulgraham.com/badeconomy.html
A Fundraising Survival Guide,http://www.paulgraham.com/fundraising.html
The Pooled-Risk Company Management Company,http://www.paulgraham.com/prcmc.html
Cities and Ambition,http://www.paulgraham.com/cities.html
Disconnecting Distraction,http://www.paulgraham.com/distraction.html
Lies We Tell Kids,http://www.paulgraham.com/lies.html
Be Good,http://www.paulgraham.com/good.html
Why There Aren't More Googles,http://www.paulgraham.com/googles.html
Some Heroes,http://www.paulgraham.com/heroes.html
How to Disagree,http://www.paulgraham.com/disagree.html
You Weren't Meant to Have a Boss,http://www.paulgraham.com/boss.html
A New Venture Animal,http://www.paulgraham.com/ycombinator.html
Trolls,http://www.paulgraham.com/trolls.html
Six Principles for Making New Things,http://www.paulgraham.com/newthings.html
Why to Move to a Startup Hub,http://www.paulgraham.com/startuphubs.html
The Future of Web Startups,http://www.paulgraham.com/webstartups.html
How to Do Philosophy,http://www.paulgraham.com/philosophy.html
News from the Front,http://www.paulgraham.com/colleges.html
How Not to Die,http://www.paulgraham.com/die.html
Holding a Program in One's Head,http://www.paulgraham.com/head.html
Stuff,http://www.paulgraham.com/stuff.html
The Equity Equation,http://www.paulgraham.com/equity.html
An Alternative Theory of Unions,http://www.paulgraham.com/unions.html
The Hacker's Guide to Investors,http://www.paulgraham.com/guidetoinvestors.html
Two Kinds of Judgement,http://www.paulgraham.com/judgement.html
Microsoft is Dead,http://www.paulgraham.com/microsoft.html
Why to Not Not Start a Startup,http://www.paulgraham.com/notnot.html
Is It Worth Being Wise?,http://www.paulgraham.com/wisdom.html
Learning from Founders,http://www.paulgraham.com/foundersatwork.html
How Art Can Be Good,http://www.paulgraham.com/goodart.html
The 18 Mistakes That Kill Startups,http://www.paulgraham.com/startupmistakes.html
A Student's Guide to Startups,http://www.paulgraham.com/mit.html
How to Present to Investors,http://www.paulgraham.com/investors.html
Copy What You Like,http://www.paulgraham.com/copy.html
The Island Test,http://www.paulgraham.com/island.html
The Power of the Marginal,http://www.paulgraham.com/marginal.html
Why Startups Condense in America,http://www.paulgraham.com/america.html
How to Be Silicon Valley,http://www.paulgraham.com/siliconvalley.html
The Hardest Lessons for Startups to Learn,http://www.paulgraham.com/startuplessons.html
See Randomness,http://www.paulgraham.com/randomness.html
Are Software Patents Evil?,http://www.paulgraham.com/softwarepatents.html
"6,631,372",http://www.paulgraham.com/6631327.html
Why YC,http://www.paulgraham.com/whyyc.html
How to Do What You Love,http://www.paulgraham.com/love.html
Good and Bad Procrastination,http://www.paulgraham.com/procrastination.html
Web 2.0,http://www.paulgraham.com/web20.html
How to Fund a Startup,http://www.paulgraham.com/startupfunding.html
The Venture Capital Squeeze,http://www.paulgraham.com/vcsqueeze.html
Ideas for Startups,http://www.paulgraham.com/ideas.html
What I Did this Summer,http://www.paulgraham.com/sfp.html
Inequality and Risk,http://www.paulgraham.com/inequality.html
After the Ladder,http://www.paulgraham.com/ladder.html
What Business Can Learn from Open Source,http://www.paulgraham.com/opensource.html
Hiring is Obsolete,http://www.paulgraham.com/hiring.html
The Submarine,http://www.paulgraham.com/submarine.html
Why Smart People Have Bad Ideas,http://www.paulgraham.com/bronze.html
Return of the Mac,http://www.paulgraham.com/mac.html
"Writing,  Briefly",http://www.paulgraham.com/writing44.html
Undergraduation,http://www.paulgraham.com/college.html
A Unified Theory of VC Suckage,http://www.paulgraham.com/venturecapital.html
How to Start a Startup,http://www.paulgraham.com/start.html
What You'll Wish You'd Known,http://www.paulgraham.com/hs.html
Made in USA,http://www.paulgraham.com/usa.html
"It's Charisma, Stupid",http://www.paulgraham.com/charisma.html
Bradley's Ghost,http://www.paulgraham.com/polls.html
A Version 1.0,http://www.paulgraham.com/laundry.html
What the Bubble Got Right,http://www.paulgraham.com/bubble.html
The Age of the Essay,http://www.paulgraham.com/essay.html
The Python Paradox,http://www.paulgraham.com/pypar.html
Great Hackers,http://www.paulgraham.com/gh.html
Mind the Gap,http://www.paulgraham.com/gap.html
How to Make Wealth,http://www.paulgraham.com/wealth.html
"The Word ""Hacker""",http://www.paulgraham.com/gba.html
What You Can't Say,http://www.paulgraham.com/say.html
Filters that Fight Back,http://www.paulgraham.com/ffb.html
Hackers and Painters,http://www.paulgraham.com/hp.html
If Lisp is So Great,http://www.paulgraham.com/iflisp.html
The Hundred-Year Language,http://www.paulgraham.com/hundred.html
Why Nerds are Unpopular,http://www.paulgraham.com/nerds.html
Better Bayesian Filtering,http://www.paulgraham.com/better.html
Design and Research,http://www.paulgraham.com/desres.html
A Plan for Spam,http://www.paulgraham.com/spam.html
Revenge of the Nerds,http://www.paulgraham.com/icad.html
Succinctness is Power,http://www.paulgraham.com/power.html
What Languages Fix,http://www.paulgraham.com/fix.html
Taste for Makers,http://www.paulgraham.com/taste.html
Why Arc Isn't Especially Object-Oriented,http://www.paulgraham.com/noop.html
What Made Lisp Different,http://www.paulgraham.com/diff.html
The Other Road Ahead,http://www.paulgraham.com/road.html
The Roots of Lisp,http://www.paulgraham.com/rootsoflisp.html
Five Questions about Language Design,http://www.paulgraham.com/langdes.html
Being Popular,http://www.paulgraham.com/popular.html
Java's Cover,http://www.paulgraham.com/javacover.html
Beating the Averages,http://www.paulgraham.com/avg.html
Lisp for Web-Based Applications,http://www.paulgraham.com/lwba.html
Chapter 1 of Ansi Common Lisp,https://sep.turbifycdn.com/ty/cdn/paulgraham/acl1.txt?t=1693076998&
Chapter 2 of Ansi Common Lisp,https://sep.turbifycdn.com/ty/cdn/paulgraham/acl2.txt?t=1693076998&
Programming Bottom-Up,http://www.paulgraham.com/progbot.html
This Year We Can End the Death Penalty in California,http://www.paulgraham.com/prop62.html
RSS,http://www.paulgraham.com/rss.html
